timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
21-June-2023 12:22,India,Chennai,1.0,5505.0,6005.0
21-June-2023 12:22,India,Mumbai,1.0,5470.0,5967.0
21-June-2023 12:22,India,Kerala,1.0,5470.0,5967.0
21-June-2023 12:22,Malaysia,,17.646806,5099.93,5311.69
21-June-2023 12:22,Qatar,,22.54849,5039.59,5355.27
21-June-2023 12:22,Saudi Arabia,,21.887068,4902.7,5274.78
21-June-2023 12:22,Singapore,,61.058296,4945.72,5495.25
21-June-2023 12:22,United Arab Emirates,,22.348946,4855.31,5240.83
21-June-2023 12:22,United States,,82.076504,4883.55,5252.9
