timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
12-July-2023 21:22,India,Chennai,1.0,5500.0,6000.0
12-July-2023 21:22,India,Mumbai,1.0,5465.0,5962.0
12-July-2023 21:22,India,Kerala,1.0,5465.0,5962.0
12-July-2023 21:22,Malaysia,,17.633956,5060.95,5290.19
12-July-2023 21:22,Qatar,,22.534333,5092.76,5408.24
12-July-2023 21:22,Saudi Arabia,,21.873326,4899.63,5271.47
12-July-2023 21:22,Singapore,,61.677589,4965.05,5520.14
12-July-2023 21:22,United Arab Emirates,,22.334914,4902.51,5293.37
12-July-2023 21:22,United States,,82.024971,4880.49,5249.6
