timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
05-July-2023 21:22,India,Chennai,1.0,5460.0,5956.0
05-July-2023 21:22,India,Mumbai,1.0,5415.0,5906.0
05-July-2023 21:22,India,Kerala,1.0,5415.0,5906.0
05-July-2023 21:22,Malaysia,,17.688544,5058.92,5271.19
05-July-2023 21:22,Qatar,,22.621788,5033.35,5338.74
05-July-2023 21:22,Saudi Arabia,,21.958216,4896.68,5269.97
05-July-2023 21:22,Singapore,,60.872656,4918.51,5466.36
05-July-2023 21:22,United Arab Emirates,,22.421595,4837.46,5224.23
05-July-2023 21:22,United States,,82.343309,4899.43,5269.97
