timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
08-June-2023 12:22,India,Chennai,1.0,5565.0,6071.0
08-June-2023 12:22,India,Mumbai,1.0,5520.0,6022.0
08-June-2023 12:22,India,Kerala,1.0,5520.0,6022.0
08-June-2023 12:22,Malaysia,,17.893074,5171.1,5403.71
08-June-2023 12:22,Qatar,,22.684662,5138.08,5455.66
08-June-2023 12:22,Saudi Arabia,,22.019245,4954.33,5306.64
08-June-2023 12:22,Singapore,,61.303566,5002.37,5554.1
08-June-2023 12:22,United Arab Emirates,,22.483912,4907.11,5300.58
08-June-2023 12:22,United States,,82.572168,4954.33,5367.19
