timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
05-June-2023 21:22,India,Chennai,1.0,5570.0,6076.0
05-June-2023 21:22,India,Mumbai,1.0,5530.0,6033.0
05-June-2023 21:22,India,Kerala,1.0,5530.0,6033.0
05-June-2023 21:22,Malaysia,,18.034198,5139.75,5356.16
05-June-2023 21:22,Qatar,,22.68011,5125.7,5443.23
05-June-2023 21:22,Saudi Arabia,,22.014826,4997.37,5371.62
05-June-2023 21:22,Singapore,,61.170139,4997.6,5554.25
05-June-2023 21:22,United Arab Emirates,,22.479401,4911.75,5305.14
05-June-2023 21:22,United States,,82.555599,4953.34,5324.84
