timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
22-May-2023 12:22,India,Chennai,1.0,5675.0,6195.0
22-May-2023 12:22,India,Mumbai,1.0,5629.0,6141.0
22-May-2023 12:22,India,Kerala,1.0,5629.0,6141.0
22-May-2023 12:22,Malaysia,,18.227333,5158.34,5449.97
22-May-2023 12:22,Qatar,,22.749144,5198.18,5516.67
22-May-2023 12:22,Saudi Arabia,,22.081836,5056.74,5432.13
22-May-2023 12:22,Singapore,,61.572335,5092.03,5676.97
22-May-2023 12:22,United Arab Emirates,,22.547824,4994.34,5394.57
22-May-2023 12:22,United States,,82.806885,4968.41,5382.45
