timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
30-June-2023 21:22,India,Chennai,1.0,5430.0,5924.0
30-June-2023 21:22,India,Mumbai,1.0,5395.0,5885.0
30-June-2023 21:22,India,Kerala,1.0,5395.0,5885.0
30-June-2023 21:22,Malaysia,,17.578992,5045.17,5238.54
30-June-2023 21:22,Qatar,,22.545033,5005.0,5309.36
30-June-2023 21:22,Saudi Arabia,,21.883712,4858.18,5230.21
30-June-2023 21:22,Singapore,,60.658763,4883.03,5422.89
30-June-2023 21:22,United Arab Emirates,,22.34552,4793.11,5172.99
30-June-2023 21:22,United States,,82.06392,4841.77,5211.06
