timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
11-July-2023 12:22,India,Chennai,1.0,5482.0,5980.0
11-July-2023 12:22,India,Mumbai,1.0,5445.0,5941.0
11-July-2023 12:22,India,Kerala,1.0,5445.0,5941.0
11-July-2023 12:22,Malaysia,,17.683365,5075.13,5305.01
11-July-2023 12:22,Qatar,,22.630356,5035.25,5340.76
11-July-2023 12:22,Saudi Arabia,,21.966532,4898.54,5250.0
11-July-2023 12:22,Singapore,,61.425073,4944.72,5497.54
11-July-2023 12:22,United Arab Emirates,,22.430087,4850.51,5243.03
11-July-2023 12:22,United States,,82.374495,4901.28,5271.97
