timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
10-June-2023 12:22,India,Chennai,1.0,5590.0,6100.0
10-June-2023 12:22,India,Mumbai,1.0,5550.0,6055.0
10-June-2023 12:22,India,Kerala,1.0,5550.0,6055.0
10-June-2023 12:22,Malaysia,,17.868982,5164.14,5396.43
10-June-2023 12:22,Qatar,,22.65037,5141.63,5458.74
10-June-2023 12:22,Saudi Arabia,,21.985959,4990.81,5364.57
10-June-2023 12:22,Singapore,,61.360416,5031.55,5589.93
10-June-2023 12:22,United Arab Emirates,,22.449924,4938.98,5331.86
10-June-2023 12:22,United States,,82.447345,4988.06,5400.3
