timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
30-May-2023 21:22,India,Chennai,1.0,5585.0,6092.0
30-May-2023 21:22,India,Mumbai,1.0,5545.0,6049.0
30-May-2023 21:22,India,Kerala,1.0,5545.0,6049.0
30-May-2023 21:22,Malaysia,,17.967739,5120.81,5372.35
30-May-2023 21:22,Qatar,,22.718101,5134.29,5440.99
30-May-2023 21:22,Saudi Arabia,,22.051703,4983.68,5358.56
30-May-2023 21:22,Singapore,,61.17089,5003.78,5560.43
30-May-2023 21:22,United Arab Emirates,,22.517056,4931.24,5325.28
30-May-2023 21:22,United States,,82.693887,4920.29,5333.76
