timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
17-June-2023 21:22,India,Chennai,1.0,5545.0,6049.0
17-June-2023 21:22,India,Mumbai,1.0,5510.0,6011.0
17-June-2023 21:22,India,Kerala,1.0,5510.0,6011.0
17-June-2023 21:22,Malaysia,,17.75842,5114.42,5345.28
17-June-2023 21:22,Qatar,,22.50592,5086.34,5401.42
17-June-2023 21:22,Saudi Arabia,,21.845746,4937.14,5308.52
17-June-2023 21:22,Singapore,,61.163232,4990.92,5529.16
17-June-2023 21:22,United Arab Emirates,,22.306752,4896.33,5292.28
17-June-2023 21:22,United States,,81.921547,4915.29,5324.9
