timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
18-June-2023 12:22,India,Chennai,1.0,5545.0,6049.0
18-June-2023 12:22,India,Mumbai,1.0,5510.0,6011.0
18-June-2023 12:22,India,Kerala,1.0,5510.0,6011.0
18-June-2023 12:22,Malaysia,,17.762185,5115.51,5346.42
18-June-2023 12:22,Qatar,,22.507835,5086.77,5401.88
18-June-2023 12:22,Saudi Arabia,,21.847605,4937.56,5308.97
18-June-2023 12:22,Singapore,,61.156299,4990.35,5528.53
18-June-2023 12:22,United Arab Emirates,,22.30865,4896.75,5292.73
18-June-2023 12:22,United States,,81.928518,4915.71,5325.35
