timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
04-June-2023 21:22,India,Chennai,1.0,5580.0,6087.0
04-June-2023 21:22,India,Mumbai,1.0,5530.0,6033.0
04-June-2023 21:22,India,Kerala,1.0,5530.0,6033.0
04-June-2023 21:22,Malaysia,,18.005659,5167.62,5347.68
04-June-2023 21:22,Qatar,,22.638591,5093.68,5410.62
04-June-2023 21:22,Saudi Arabia,,21.974525,4944.27,5317.84
04-June-2023 21:22,Singapore,,61.03754,4992.87,5578.83
04-June-2023 21:22,United Arab Emirates,,22.438249,4902.76,5295.43
04-June-2023 21:22,United States,,82.40447,4944.27,5315.09
