timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
03-June-2023 12:22,India,Chennai,1.0,5580.0,6087.0
03-June-2023 12:22,India,Mumbai,1.0,5530.0,6033.0
03-June-2023 12:22,India,Kerala,1.0,5530.0,6033.0
03-June-2023 12:22,Malaysia,,17.999611,5165.89,5345.88
03-June-2023 12:22,Qatar,,22.637892,5138.8,5455.73
03-June-2023 12:22,Saudi Arabia,,21.973847,4966.09,5339.64
03-June-2023 12:22,Singapore,,61.016694,4991.17,5576.93
03-June-2023 12:22,United Arab Emirates,,22.437557,4902.61,5295.26
03-June-2023 12:22,United States,,82.401927,4985.32,5397.33
