timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
07-June-2023 12:22,India,Chennai,1.0,5605.0,6115.0
07-June-2023 12:22,India,Mumbai,1.0,5560.0,6065.0
07-June-2023 12:22,India,Kerala,1.0,5560.0,6065.0
07-June-2023 12:22,Malaysia,,17.92372,5179.96,5412.96
07-June-2023 12:22,Qatar,,22.676257,5136.17,5453.64
07-June-2023 12:22,Saudi Arabia,,22.011086,4996.52,5370.7
07-June-2023 12:22,Singapore,,61.179884,5035.1,5597.96
07-June-2023 12:22,United Arab Emirates,,22.475582,4950.25,5349.19
07-June-2023 12:22,United States,,82.541574,4952.49,5365.2
