timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
24-May-2023 12:22,India,Chennai,1.0,5665.0,6180.0
24-May-2023 12:22,India,Mumbai,1.0,5625.0,6136.0
24-May-2023 12:22,India,Kerala,1.0,5625.0,6136.0
24-May-2023 12:22,Malaysia,,18.045558,5142.98,5431.71
24-May-2023 12:22,Qatar,,22.730414,5148.44,5466.66
24-May-2023 12:22,Saudi Arabia,,22.063655,5008.45,5383.53
24-May-2023 12:22,Singapore,,61.440002,5081.09,5640.19
24-May-2023 12:22,United Arab Emirates,,22.52926,4995.86,5395.76
24-May-2023 12:22,United States,,82.738707,5005.69,5419.39
