timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
19-May-2023 14:58,India,Chennai,1.0,5625.0,6136.0
19-May-2023 14:58,India,Mumbai,1.0,5580.0,6087.0
19-May-2023 14:58,India,Kerala,1.0,5580.0,6087.0
19-May-2023 14:58,Malaysia,,18.205424,5152.13,5407.01
19-May-2023 14:58,Qatar,,22.726648,5136.22,5465.76
19-May-2023 14:58,Saudi Arabia,,22.059999,5007.62,5404.7
19-May-2023 14:58,Singapore,,61.461184,5052.11,5611.41
19-May-2023 14:58,United Arab Emirates,,22.525527,4955.62,5355.44
19-May-2023 14:58,United States,,82.724998,4963.5,5377.12
