timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
02-June-2023 12:22,India,Chennai,1.0,5638.0,6150.5
02-June-2023 12:22,India,Mumbai,1.0,5600.0,6110.0
02-June-2023 12:22,India,Kerala,1.0,5600.0,6110.0
02-June-2023 12:22,Malaysia,,17.936592,5183.68,5434.79
02-June-2023 12:22,Qatar,,22.615081,5156.24,5472.85
02-June-2023 12:22,Saudi Arabia,,21.951705,5026.94,5400.12
02-June-2023 12:22,Singapore,,61.206618,5067.91,5631.01
02-June-2023 12:22,United Arab Emirates,,22.414947,4976.12,5373.98
02-June-2023 12:22,United States,,82.318894,5021.45,5433.05
