timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
25-June-2023 12:22,India,Chennai,1.0,5455.0,5951.0
25-June-2023 12:22,India,Mumbai,1.0,5425.0,5918.0
25-June-2023 12:22,India,Kerala,1.0,5425.0,5918.0
25-June-2023 12:22,Malaysia,,17.540272,5016.52,5227.0
25-June-2023 12:22,Qatar,,22.528884,5001.41,5305.55
25-June-2023 12:22,Saudi Arabia,,21.868037,4854.7,5226.46
25-June-2023 12:22,Singapore,,60.658482,4895.14,5447.13
25-June-2023 12:22,United Arab Emirates,,22.329514,4806.43,5191.61
25-June-2023 12:22,United States,,82.005139,4838.3,5248.33
