timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
31-May-2023 12:22,India,Chennai,1.0,5645.0,6158.0
31-May-2023 12:22,India,Mumbai,1.0,5585.0,6093.0
31-May-2023 12:22,India,Kerala,1.0,5585.0,6093.0
31-May-2023 12:22,Malaysia,,17.908189,5121.74,5372.46
31-May-2023 12:22,Qatar,,22.712807,5133.09,5439.72
31-May-2023 12:22,Saudi Arabia,,22.046564,4982.52,5357.32
31-May-2023 12:22,Singapore,,61.058625,5025.12,5586.86
31-May-2023 12:22,United Arab Emirates,,22.511808,4946.97,5346.55
31-May-2023 12:22,United States,,82.674617,4960.48,5373.85
