timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
20-June-2023 12:22,India,Chennai,1.0,5535.0,6038.0
20-June-2023 12:22,India,Mumbai,1.0,5500.0,6000.0
20-June-2023 12:22,India,Kerala,1.0,5500.0,6000.0
20-June-2023 12:22,Malaysia,,17.709592,5118.07,5330.59
20-June-2023 12:22,Qatar,,22.559707,5075.93,5391.77
20-June-2023 12:22,Saudi Arabia,,21.897955,4948.94,5321.2
20-June-2023 12:22,Singapore,,61.205072,4982.09,5532.94
20-June-2023 12:22,United Arab Emirates,,22.360063,4891.26,5282.56
20-June-2023 12:22,United States,,82.117333,4927.04,5337.63
