timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
01-June-2023 21:22,India,Chennai,1.0,5620.0,6131.0
01-June-2023 21:22,India,Mumbai,1.0,5570.0,6076.0
01-June-2023 21:22,India,Kerala,1.0,5570.0,6094.0
01-June-2023 21:22,Malaysia,,17.845587,5139.53,5389.37
01-June-2023 21:22,Qatar,,22.617722,5156.84,5473.49
01-June-2023 21:22,Saudi Arabia,,21.954269,5005.57,5378.8
01-June-2023 21:22,Singapore,,61.098959,5046.77,5602.77
01-June-2023 21:22,United Arab Emirates,,22.417565,4954.28,5352.19
01-June-2023 21:22,United States,,82.328508,4980.87,5392.52
