timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
13-June-2023 12:22,India,Chennai,1.0,5590.0,6098.0
13-June-2023 12:22,India,Mumbai,1.0,5540.0,6045.0
13-June-2023 12:22,India,Kerala,1.0,5540.0,6045.0
13-June-2023 12:22,Malaysia,,17.824262,5151.21,5365.1
13-June-2023 12:22,Qatar,,22.634517,5115.4,5420.97
13-June-2023 12:22,Saudi Arabia,,21.970571,4987.32,5360.82
13-June-2023 12:22,Singapore,,61.414785,5036.01,5594.89
13-June-2023 12:22,United Arab Emirates,,22.434211,4929.92,5328.13
13-June-2023 12:22,United States,,82.389641,4943.38,5355.33
