timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
07-July-2023 12:22,India,Chennai,1.0,5457.0,5956.0
07-July-2023 12:22,India,Mumbai,1.0,5415.0,5907.0
07-July-2023 12:22,India,Kerala,1.0,5415.0,5907.0
07-July-2023 12:22,Malaysia,,17.72084,5068.16,5280.81
07-July-2023 12:22,Qatar,,22.723171,5010.46,5317.22
07-July-2023 12:22,Saudi Arabia,,22.056625,4896.57,5271.53
07-July-2023 12:22,Singapore,,61.165982,4917.74,5468.24
07-July-2023 12:22,United Arab Emirates,,22.522081,4830.99,5213.86
07-July-2023 12:22,United States,,82.712344,4838.67,5252.23
