timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
16-July-2023 21:22,India,Chennai,1.0,5550.0,6055.0
16-July-2023 21:22,India,Mumbai,1.0,5500.0,6000.0
16-July-2023 21:22,India,Kerala,1.0,5500.0,6000.0
16-July-2023 21:22,Malaysia,,18.135592,5168.64,5350.0
16-July-2023 21:22,Qatar,,22.545508,5095.28,5410.92
16-July-2023 21:22,Saudi Arabia,,21.884173,4945.82,5317.85
16-July-2023 21:22,Singapore,,62.127927,4988.87,5548.02
16-July-2023 21:22,United Arab Emirates,,22.34599,4899.36,5290.41
16-July-2023 21:22,United States,,82.065649,4923.94,5334.27
