timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
06-June-2023 12:22,India,Chennai,1.0,5600.0,6110.0
06-June-2023 12:22,India,Mumbai,1.0,5560.0,6065.0
06-June-2023 12:22,India,Kerala,1.0,5560.0,6065.0
06-June-2023 12:22,Malaysia,,17.974396,5158.65,5410.29
06-June-2023 12:22,Qatar,,22.704362,5131.19,5449.05
06-June-2023 12:22,Saudi Arabia,,22.038367,5002.71,5377.36
06-June-2023 12:22,Singapore,,61.290418,5044.2,5601.94
06-June-2023 12:22,United Arab Emirates,,22.503438,4950.76,5344.57
06-June-2023 12:22,United States,,82.643876,4958.63,5371.85
