timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
22-June-2023 12:22,India,Chennai,1.0,5485.0,5983.0
22-June-2023 12:22,India,Mumbai,1.0,5450.0,5945.0
22-June-2023 12:22,India,Kerala,1.0,5450.0,5945.0
22-June-2023 12:22,Malaysia,,17.605627,5052.81,5264.08
22-June-2023 12:22,Qatar,,22.505452,5029.97,5345.04
22-June-2023 12:22,Saudi Arabia,,21.845293,4893.35,5264.72
22-June-2023 12:22,Singapore,,61.031631,4913.05,5462.33
22-June-2023 12:22,United Arab Emirates,,22.306289,4823.73,5214.1
22-June-2023 12:22,United States,,81.919847,4874.23,5242.87
