timestamp,country,city,to_inr_rate,22k_inr_per_gram,24k_inr_per_gram
10-July-2023 21:22,India,Chennai,1.0,5485.0,5984.0
10-July-2023 21:22,India,Mumbai,1.0,5445.0,5941.0
10-July-2023 21:22,India,Kerala,1.0,5445.0,5941.0
10-July-2023 21:22,Malaysia,,17.682915,5075.0,5287.19
10-July-2023 21:22,Qatar,,22.690442,5048.62,5354.94
10-July-2023 21:22,Saudi Arabia,,22.024856,4911.54,5263.94
10-July-2023 21:22,Singapore,,61.366732,4952.3,5504.6
10-July-2023 21:22,United Arab Emirates,,22.489642,4852.14,5240.09
10-July-2023 21:22,United States,,82.593209,4914.3,5285.97
